Language	Family	Prediction	Frequency
kawa1283	Uto-Aztecan	Algic	1
kawa1283	Uto-Aztecan	Ta-Ne-Omotic	1
luis1253	Uto-Aztecan	Unclassified	88
luis1253	Uto-Aztecan	Koiarian	5
luis1253	Uto-Aztecan	Uto-Aztecan	3
luis1253	Uto-Aztecan	Quechuan	2
luis1253	Uto-Aztecan	Chocoan	1
luis1253	Uto-Aztecan	Pano-Tacanan	1
mono1275	Uto-Aztecan	Pano-Tacanan	21
mono1275	Uto-Aztecan	Unclassified	41
mono1275	Uto-Aztecan	Quechuan	12
mono1275	Uto-Aztecan	Pama-Nyungan	2
mono1275	Uto-Aztecan	Sino-Tibetan	10
mono1275	Uto-Aztecan	Chocoan	1
mono1275	Uto-Aztecan	Cariban	3
mono1275	Uto-Aztecan	Ta-Ne-Omotic	2
mono1275	Uto-Aztecan	Tupian	5
mono1275	Uto-Aztecan	Atlantic-Congo	1
mono1275	Uto-Aztecan	Tucanoan	1
mono1275	Uto-Aztecan	Nuclear-Macro-Je	1
nort2954	Uto-Aztecan	Nuclear-Macro-Je	2
nort2954	Uto-Aztecan	Unclassified	98
pana1305	Uto-Aztecan	Pama-Nyungan	69
pana1305	Uto-Aztecan	Unclassified	20
pana1305	Uto-Aztecan	Nuclear-Macro-Je	11
serr1255	Uto-Aztecan	Sino-Tibetan	56
serr1255	Uto-Aztecan	Tupian	6
serr1255	Uto-Aztecan	Uto-Aztecan	11
serr1255	Uto-Aztecan	Chocoan	6
serr1255	Uto-Aztecan	Pano-Tacanan	8
serr1255	Uto-Aztecan	Unclassified	3
serr1255	Uto-Aztecan	Cariban	3
serr1255	Uto-Aztecan	Quechuan	4
serr1255	Uto-Aztecan	Tungusic	3
shos1248	Uto-Aztecan	Unclassified	79
shos1248	Uto-Aztecan	Nuclear-Macro-Je	4
shos1248	Uto-Aztecan	Pano-Tacanan	14
shos1248	Uto-Aztecan	Muskogean	3
tuba1278	Uto-Aztecan	Unclassified	77
tuba1278	Uto-Aztecan	Afro-Asiatic	9
tuba1278	Uto-Aztecan	Austronesian	5
tuba1278	Uto-Aztecan	Surmic	1
tuba1278	Uto-Aztecan	Indo-European	1
tuba1278	Uto-Aztecan	Nilotic	4
tuba1278	Uto-Aztecan	Uto-Aztecan	2
tuba1278	Uto-Aztecan	Otomanguean	1
utes1238	Uto-Aztecan	Unclassified	74
utes1238	Uto-Aztecan	Siouan	3
utes1238	Uto-Aztecan	Sino-Tibetan	9
utes1238	Uto-Aztecan	Chocoan	3
utes1238	Uto-Aztecan	Mongolic-Khitan	1
utes1238	Uto-Aztecan	Chibchan	2
utes1238	Uto-Aztecan	Austronesian	4
utes1238	Uto-Aztecan	Nuclear Trans New Guinea	2
utes1238	Uto-Aztecan	Koiarian	2
bang1363	Unclassified	Atlantic-Congo	20
bang1363	Unclassified	Mande	68
bang1363	Unclassified	Unclassified	11
bang1363	Unclassified	Central Sudanic	1
basq1248	Unclassified	Unclassified	27
basq1248	Unclassified	Sino-Tibetan	58
basq1248	Unclassified	Nuclear-Macro-Je	8
basq1248	Unclassified	Chibchan	1
basq1248	Unclassified	Uto-Aztecan	3
basq1248	Unclassified	Mande	2
basq1248	Unclassified	Indo-European	1
kusu1250	Unclassified	Sino-Tibetan	58
kusu1250	Unclassified	Quechuan	4
kusu1250	Unclassified	Dravidian	3
kusu1250	Unclassified	Nuclear Trans New Guinea	1
kusu1250	Unclassified	Unclassified	24
kusu1250	Unclassified	Ta-Ne-Omotic	10
mapu1245	Unclassified	Salishan	53
mapu1245	Unclassified	Unclassified	19
mapu1245	Unclassified	Austronesian	20
mapu1245	Unclassified	Uto-Aztecan	1
mapu1245	Unclassified	Algic	3
mapu1245	Unclassified	Otomanguean	4
